#{"t_start": 1770583015.146034, "env_id": "None"}
r,l,t
274.99942,500,2133.586487
437.36407,500,2158.556053
303.7855,500,2158.556094
245.39557,500,2158.55611
323.4861,500,2158.556122
418.83908,500,2172.946966
264.58322,500,2172.947006
340.9712,500,2172.947021
-47.76137,500,2172.947033
335.64386,500,2187.607352
247.96313,500,2187.607394
277.86322,500,2187.60741
286.29242,500,2187.607423
220.83359,500,2201.796901
-67.74205,500,2201.796941
270.91,500,2201.796957
328.5699,500,2201.79697
271.5179,500,2226.673542
114.008255,500,2226.673583
428.57034,500,2226.673599
450.33344,500,2226.673612
60.00103,500,2240.874966
222.9172,500,2240.875008
167.9745,500,2240.875024
-6.1374016,500,2240.875036
371.01385,500,2255.795616
346.04312,500,2255.795659
210.60681,500,2255.795675
191.94728,500,2255.795688
381.88336,500,2270.71753
252.94191,500,2270.717569
135.47397,500,2270.717586
372.13043,500,2270.717599
168.55228,500,2285.207602
241.72733,500,2285.207644
297.0043,500,2285.207661
356.8335,500,2285.207673
360.71393,500,2309.999006
183.13335,500,2309.99905
271.42725,500,2309.999067
206.93129,500,2309.99908
181.33746,500,2324.439713
67.36519,500,2324.439758
57.719124,500,2324.439773
16.197533,500,2324.439785
475.08987,500,2338.848764
379.02032,500,2338.848811
175.4721,500,2338.848827
375.6546,500,2338.84884
386.5887,500,2353.334854
335.68185,500,2353.334895
303.66864,500,2353.334911
377.03134,500,2353.334924
301.40878,500,2376.838528
386.88052,500,2376.83857
199.67517,500,2376.838586
438.19275,500,2376.838598
234.51843,500,2389.936208
352.8279,500,2389.936249
400.00052,500,2389.936265
465.8331,500,2389.936278
451.59875,500,2404.077709
588.6434,500,2404.07775
77.63275,500,2404.077766
306.4741,500,2404.077779
-18.91905,500,2418.587991
369.92276,500,2418.588045
217.9019,500,2418.588064
29.747307,500,2418.588077
136.3647,500,2442.986543
110.52733,500,2442.986605
169.84248,500,2442.986622
399.99918,500,2442.986635
207.46364,500,2457.631706
129.5598,500,2457.631749
42.85794,500,2457.631766
109.83717,500,2457.631779
58.45188,500,2472.038635
443.66068,500,2472.038676
238.34322,500,2472.038692
393.00687,500,2472.038705
