#{"t_start": 1770500331.618574, "env_id": "None"}
r,l,t
892.54425,1000,1732.162833
627.5648,1000,1732.162872
842.9536,1000,1738.298689
538.89166,1000,1749.34392
791.61224,1000,1749.565135
615.97845,1000,1749.565173
347.9451,1000,1755.742413
271.51245,1000,1766.558373
371.01062,1000,1766.794141
422.55344,1000,1766.794177
489.5488,1000,1771.239658
713.43787,1000,1784.601002
524.1157,1000,1784.828231
551.2463,1000,1784.828268
618.86505,1000,1788.957201
253.15578,1000,1802.125905
790.11865,1000,1802.345628
589.19476,1000,1802.345665
634.0061,1000,1806.460251
704.1239,1000,1819.800444
784.6172,1000,1820.03919
604.32367,1000,1820.039225
440.2949,1000,1824.713657
561.195,1000,1838.353281
570.891,1000,1838.57533
460.50735,1000,1838.575368
664.04913,1000,1842.644004
869.60034,1000,1856.50879
789.29266,1000,1856.736743
864.794,1000,1856.73678
298.74948,1000,1861.257455
579.2428,1000,1875.052996
266.9984,1000,1875.287613
764.19806,1000,1875.287654
371.82584,1000,1879.913497
659.081,1000,1893.93139
352.82523,1000,1894.148975
725.1815,1000,1894.149015
638.1937,1000,1898.2234
614.82465,1000,1912.177218
232.16333,1000,1912.406822
759.8584,1000,1912.406861
286.57706,1000,1916.580058
923.50366,765,1926.317107
504.32394,1000,1929.871367
218.4671,1000,1930.110517
470.96255,1000,1934.752777
412.36258,1000,1945.145577
831.1612,1000,1948.661726
392.5778,1000,1948.885647
525.3793,1000,1953.050126
688.7765,1000,1962.807877
587.2948,1000,1966.184361
786.60425,1000,1966.411065
853.67786,1000,1970.513883
877.8642,1000,1980.345933
519.6299,1000,1983.89845
786.4428,1000,1984.133024
608.9048,1000,1988.700029
409.99597,1000,1999.254376
800.37244,1000,2002.648948
424.47186,1000,2002.871349
786.0824,1000,2006.945089
328.5665,1000,2016.660857
801.9081,1000,2020.082358
356.58798,1000,2020.306262
337.10187,1000,2024.408156
840.56464,1000,2039.136873
504.3564,1000,2039.136915
544.0231,1000,2039.13693
356.30704,1000,2039.136943
295.34433,1000,2055.289136
308.16058,1000,2055.289176
342.5633,1000,2055.289192
320.87045,1000,2055.289205
296.54697,1000,2073.503842
430.48444,1000,2073.503882
305.49374,1000,2073.503897
628.8727,1000,2073.50391
784.11066,1000,2090.872136
783.5663,1000,2090.872179
819.3031,1000,2090.872195
486.20233,1000,2090.872208
494.20953,1000,2109.131395
818.3662,1000,2109.131434
473.4235,1000,2109.13145
371.75864,1000,2109.131462
619.40466,1000,2126.694175
853.24854,1000,2126.694214
411.90057,1000,2126.69423
745.58923,1000,2126.694242
530.53577,1000,2143.972286
808.7743,1000,2143.972327
658.39417,1000,2143.972343
528.8644,1000,2143.972356
324.14447,1000,2162.510281
284.10178,1000,2162.510323
237.04298,1000,2162.510339
824.60693,1000,2162.510352
538.7164,1000,2179.647747
355.55063,1000,2179.647815
398.30023,1000,2179.647833
820.7913,1000,2179.647847
43.07454,267,2183.664509
744.82886,1000,2196.800893
579.43933,1000,2196.800933
871.3289,1000,2196.800949
478.23145,1000,2201.03048
343.6568,1000,2214.830976
798.8824,1000,2214.83102
648.2736,1000,2214.831036
332.05093,1000,2218.782791
720.9023,1000,2232.00286
760.54535,1000,2232.002903
840.95355,1000,2232.002919
302.43497,1000,2236.03802
871.0186,1000,2249.185535
383.33264,1000,2249.185575
874.6471,1000,2249.185591
804.92505,1000,2253.347176
644.4476,1000,2267.402935
401.7138,1000,2267.40298
789.6558,1000,2267.402996
643.8622,1000,2271.474245
880.62646,1000,2284.846698
476.50763,1000,2284.84674
472.81268,1000,2284.846756
845.3228,1000,2288.911877
920.605,794,2299.009065
705.4613,1000,2302.121133
644.96466,1000,2302.121173
837.5038,1000,2306.215835
888.9332,1000,2317.19623
889.257,1000,2320.317394
860.7243,1000,2320.317431
740.1404,1000,2324.330634
452.8656,1000,2334.363063
876.47925,1000,2337.522829
849.2307,1000,2337.522868
418.28937,1000,2341.579902
436.50485,1000,2351.672398
820.7587,1000,2354.849955
451.8348,1000,2354.849995
19.602432,1000,2358.964107
463.1354,1000,2370.220524
722.4369,1000,2373.418946
664.90497,1000,2373.418986
857.3836,1000,2377.490551
909.80585,902,2384.121886
639.42017,1000,2390.972204
871.7398,1000,2390.972245
640.34985,1000,2395.087646
794.74506,1000,2401.693136
877.365,1000,2408.470247
656.4121,1000,2408.470289
799.331,1000,2412.599935
701.92474,1000,2419.625328
313.3291,1000,2426.783114
872.3237,1000,2426.783153
848.1531,1000,2430.921786
495.5846,1000,2437.568956
830.6976,1000,2444.380975
641.9377,1000,2444.381013
813.21277,1000,2448.452669
920.40375,796,2451.907293
436.51245,1000,2461.816297
366.66272,1000,2461.816335
390.25613,1000,2465.805357
860.268,1000,2469.301814
867.5379,1000,2480.090965
541.3133,1000,2480.091004
478.59378,1000,2484.212565
592.55493,1000,2487.683266
267.2093,1000,2497.594591
464.25864,1000,2497.594631
459.74344,1000,2512.086919
254.16193,1000,2512.086961
295.8291,1000,2512.086978
303.45334,1000,2512.08699
444.84628,1000,2527.655503
201.68985,1000,2527.655542
297.30142,1000,2527.655557
780.1607,1000,2527.65557
220.89099,1000,2546.507936
806.0432,1000,2546.507975
323.07483,1000,2546.507991
828.0096,1000,2546.508003
542.4073,1000,2563.457278
765.3234,1000,2563.457318
331.81412,1000,2563.457334
896.37524,1000,2563.457346
555.28845,1000,2578.392569
580.86273,1000,2578.392615
854.89484,1000,2578.392631
380.88815,1000,2578.392643
467.48242,1000,2595.726148
845.16046,1000,2595.726188
327.649,1000,2595.726204
853.0751,1000,2595.726217
926.4046,736,2608.629373
288.8848,1000,2612.507495
259.8571,1000,2612.507534
681.5411,1000,2612.50755
832.20953,1000,2625.537246
239.09946,1000,2629.776793
269.6326,1000,2629.776832
615.2106,1000,2629.776847
606.4855,1000,2643.163959
412.72495,1000,2647.132632
615.828,1000,2647.132671
623.8816,1000,2647.132687
493.33072,1000,2660.253014
644.4118,1000,2664.236741
625.92487,1000,2664.23678
415.89655,1000,2664.236796
236.59665,1000,2677.320689
879.4564,1000,2681.395297
853.13257,1000,2681.395336
765.0575,1000,2681.395352
812.2868,1000,2694.852478
925.201,748,2695.05818
869.9317,1000,2698.817336
602.702,1000,2698.817375
701.26385,1000,2711.823083
788.1429,1000,2712.024117
762.2094,1000,2715.762802
591.274,1000,2715.76284
892.547,1000,2728.609365
849.8129,1000,2728.812379
687.9877,1000,2732.634802
725.4574,1000,2732.634841
538.8857,1000,2746.200133
835.8165,1000,2746.404202
588.31726,1000,2750.179625
634.9862,1000,2750.179662
668.7516,1000,2763.333726
795.8348,1000,2763.541316
879.4547,1000,2767.271173
867.39667,1000,2767.27121
875.5291,1000,2780.171983
687.1642,1000,2780.375231
883.61334,1000,2784.116127
837.7327,1000,2784.116181
889.2962,1000,2797.493371
369.13174,1000,2797.695139
906.20807,938,2800.528375
713.3367,1000,2801.4623
777.4205,1000,2814.648828
531.23956,1000,2814.849144
699.2481,1000,2817.670754
827.80896,1000,2818.610555
860.2999,1000,2831.622219
240.9049,1000,2831.824985
877.4983,1000,2834.648316
558.0053,1000,2835.579117
