#{"t_start": 1770578320.2685711, "env_id": "None"}
r,l,t
490.7433,1000,1334.572657
647.33374,1000,1334.57267
344.0863,1000,1352.133464
591.17944,1000,1352.133504
574.3437,1000,1352.13352
427.319,1000,1352.133532
547.0572,1000,1369.325928
134.41753,1000,1369.325967
503.4437,1000,1369.325983
546.6191,1000,1369.325995
606.56616,1000,1388.193686
585.8116,1000,1388.193733
586.33435,1000,1388.193748
600.99384,1000,1388.193761
388.9668,1000,1403.848721
286.88098,1000,1403.848763
811.4409,1000,1403.848779
863.9034,1000,1403.848791
853.74304,1000,1422.335638
846.43744,1000,1422.335678
242.01566,1000,1422.335693
493.9567,1000,1422.335705
907.80237,922,1436.465956
709.8368,1000,1437.70244
491.06873,1000,1437.702479
754.09906,1000,1437.702494
353.63922,1000,1452.605207
301.98895,1000,1456.185303
443.1267,1000,1456.185359
406.36588,1000,1456.185391
424.472,1000,1470.551056
542.62,1000,1471.859361
802.9947,1000,1471.859398
711.5477,1000,1471.859413
268.81653,1000,1486.193659
263.35907,1000,1487.445042
351.50037,1000,1487.44508
685.46277,1000,1487.445095
607.32635,1000,1504.782183
398.26587,1000,1506.541023
707.55414,1000,1506.541061
438.23172,1000,1506.541077
743.0065,1000,1520.45398
307.9716,1000,1521.649065
272.60724,1000,1521.649102
503.12048,1000,1521.649118
227.97,1000,1537.368288
391.03433,1000,1538.537093
261.95938,1000,1538.537134
343.76492,1000,1538.53715
860.4371,1000,1553.508377
441.66333,1000,1554.823544
843.8298,1000,1554.823581
674.1954,1000,1554.823596
641.9435,1000,1570.744802
527.1149,1000,1571.920628
241.375,1000,1571.920666
746.16003,1000,1571.920682
533.0955,1000,1585.519199
484.15335,1000,1586.678874
449.40268,1000,1586.678913
585.4018,1000,1586.678929
791.70734,1000,1602.838528
373.84244,1000,1604.114257
363.40955,1000,1604.114297
792.09326,1000,1604.114312
288.05545,1000,1619.054215
348.66428,1000,1620.359799
243.10437,1000,1620.359836
501.94052,1000,1620.359852
578.5694,1000,1638.550731
449.66592,1000,1639.758087
785.531,1000,1639.758157
355.1451,1000,1639.75821
348.62573,1000,1654.870874
368.1608,1000,1656.213047
575.2847,1000,1656.213089
77.30384,1000,1656.213104
331.3677,1000,1672.72342
251.91183,1000,1673.947563
523.24896,1000,1673.947602
125.80144,1000,1673.947618
357.5115,1000,1688.567734
318.6805,1000,1689.784336
644.47784,1000,1689.784376
600.6569,1000,1689.784391
585.1966,1000,1708.322009
369.05063,1000,1709.634315
540.74493,1000,1709.634354
537.98145,1000,1709.63437
474.6002,1000,1726.582322
248.74966,1000,1728.041044
214.68065,1000,1728.041086
336.5628,1000,1728.041102
291.5816,1000,1746.793495
201.03377,1000,1747.987059
201.88187,1000,1747.987097
406.11746,1000,1747.987113
843.1901,1000,1769.100182
78.43753,1000,1770.561735
297.5487,1000,1770.561777
265.58667,1000,1770.561793
305.19968,1000,1787.559035
385.5269,1000,1788.818455
87.29962,1000,1788.818494
287.31918,1000,1788.81851
303.12054,1000,1805.095364
784.8706,1000,1806.281306
256.24518,1000,1806.281343
445.76984,1000,1806.28136
861.14026,1000,1823.352142
876.01105,1000,1824.641968
868.20746,1000,1824.642021
584.93915,1000,1824.642038
435.4789,1000,1839.420696
25.436787,1000,1840.805037
130.52583,1000,1840.805091
284.85413,1000,1840.80513
194.51587,1000,1858.736903
760.9294,1000,1859.994425
834.3686,1000,1859.994466
267.40884,1000,1859.994482
862.6949,1000,1874.662334
878.4276,1000,1875.813809
850.8251,1000,1875.813846
339.99637,1000,1875.813861
851.61523,1000,1895.282471
759.78235,1000,1897.418099
622.6104,1000,1897.418139
310.25452,1000,1897.418155
205.9892,1000,1914.345298
110.056015,1000,1915.632153
889.93726,1000,1915.632196
420.7503,1000,1915.632212
420.29047,1000,1933.534058
327.58218,1000,1934.751072
715.6135,1000,1934.751109
888.2866,1000,1934.751124
352.45468,1000,1950.307073
145.39388,1000,1951.708301
772.557,1000,1951.708348
230.4551,1000,1951.708364
362.83408,1000,1969.510787
871.12683,1000,1970.819829
655.999,1000,1970.819872
844.8122,1000,1970.819891
901.51,985,1984.767336
851.6819,1000,1986.178698
878.73096,1000,1986.178736
691.09735,1000,1986.178751
786.3645,1000,2002.601766
853.411,1000,2004.179534
215.96744,1000,2004.179582
821.50757,1000,2004.179598
85.30251,1000,2019.367325
625.988,1000,2021.032405
768.6147,1000,2021.032443
347.36475,1000,2021.032459
489.47778,1000,2037.903669
685.95844,1000,2039.349212
768.96936,1000,2039.34925
359.6969,1000,2039.349266
423.29257,1000,2054.18266
228.85437,1000,2055.790182
299.2347,1000,2055.79022
396.17914,1000,2055.790237
417.23703,1000,2071.947076
582.93005,1000,2073.39168
616.16986,1000,2073.391718
25.828875,1000,2073.391735
714.82117,1000,2087.755093
661.32825,1000,2089.247592
363.11298,1000,2089.247631
537.28406,1000,2089.247647
714.0402,1000,2106.692908
606.4314,1000,2108.146173
301.4549,1000,2108.146211
699.38464,1000,2108.146225
610.5381,1000,2121.874865
853.2447,1000,2123.280556
317.2146,1000,2123.280594
672.2003,1000,2123.28061
361.2749,1000,2139.363132
395.2935,1000,2141.593334
396.02798,1000,2141.593379
612.16614,1000,2141.593396
297.43182,1000,2157.155641
241.26556,1000,2158.609534
293.9346,1000,2158.609573
363.48825,1000,2158.609588
396.74954,1000,2173.671098
653.131,1000,2177.14083
338.94025,1000,2177.140867
330.9719,1000,2177.140883
211.04196,1000,2191.111753
809.42523,1000,2192.550753
269.17096,1000,2192.550792
858.96295,1000,2192.550807
771.43243,1000,2209.279111
689.65955,1000,2212.823098
676.7657,1000,2212.823137
859.4137,1000,2212.823152
428.8087,1000,2232.441634
639.92834,1000,2233.971374
668.21747,1000,2233.971418
451.23175,1000,2233.971434
877.56775,1000,2248.900467
160.86485,1000,2250.484933
247.00299,1000,2250.484971
328.567,1000,2250.484987
560.1273,1000,2268.881864
907.90784,921,2269.129962
413.4187,1000,2270.415036
629.10333,1000,2270.415076
504.72815,1000,2284.882695
565.47705,1000,2285.136242
855.7859,1000,2286.648465
798.95996,1000,2286.648504
243.64825,1000,2303.906827
306.24542,1000,2304.150784
421.03262,1000,2305.40782
893.25024,1000,2305.407859
466.26138,1000,2320.088407
863.1185,1000,2320.346513
479.14688,1000,2321.708142
844.2424,1000,2321.70818
907.5094,925,2337.055301
765.5248,1000,2337.987035
423.65527,1000,2339.388677
535.77954,1000,2339.388715
503.5189,1000,2352.780567
601.06866,1000,2353.874023
676.12,1000,2355.455858
569.9036,1000,2355.455894
564.4583,1000,2371.514632
689.0154,1000,2372.440306
417.91025,1000,2373.826006
403.6988,1000,2373.826044
922.6039,774,2386.540041
704.9511,1000,2387.775549
861.6817,1000,2388.949734
278.20105,1000,2390.719408
817.33417,1000,2405.349375
756.62634,1000,2406.552885
434.8053,1000,2407.66049
545.36426,1000,2409.334497
697.94543,1000,2423.224909
875.69617,1000,2424.339422
517.2158,1000,2425.270295
283.43143,1000,2426.701125
881.89355,1000,2440.681302
878.7307,1000,2441.852423
760.30475,1000,2442.821161
317.3878,1000,2444.513644
681.69226,1000,2457.434627
803.7853,1000,2458.602391
852.3849,1000,2459.702634
806.0229,1000,2461.30947
907.805,922,2474.47871
520.4462,1000,2476.894289
896.3732,1000,2478.131595
751.9769,1000,2479.636652
604.5447,1000,2490.966392
470.93088,1000,2493.283908
646.5729,1000,2494.25936
681.61816,1000,2495.745528
307.5101,1000,2508.631664
858.9105,1000,2510.8797
787.466,1000,2511.801355
759.1562,1000,2513.192039
630.00055,1000,2523.749107
372.13632,1000,2526.306833
616.26917,1000,2527.342654
840.7736,1000,2529.325971
852.70905,1000,2541.852447
572.0346,1000,2544.13607
442.3148,1000,2545.097683
892.81274,1000,2546.571441
812.9012,1000,2557.773723
867.537,1000,2560.29516
550.6475,1000,2561.246307
547.065,1000,2562.702591
833.11743,1000,2574.967545
862.0755,1000,2577.233179
697.3047,1000,2578.16683
882.94086,1000,2579.550359
539.41077,1000,2589.874215
252.77362,1000,2592.092187
741.33813,1000,2592.991904
682.76154,1000,2594.383572
862.5891,1000,2606.928066
563.2716,1000,2609.199224
753.2491,1000,2610.229788
602.62024,1000,2611.689831
395.51797,1000,2622.063384
548.6456,1000,2624.306369
867.15466,1000,2625.23668
796.6889,1000,2626.625936
805.2709,1000,2638.90264
596.48944,1000,2641.115897
839.86096,1000,2642.036663
514.86115,1000,2643.417055
82.50897,1000,2654.015692
646.75275,1000,2656.558081
528.4832,1000,2657.599846
438.7705,1000,2659.128666
345.25027,1000,2672.651322
648.02924,1000,2674.927697
663.0756,1000,2675.902888
672.55066,1000,2677.319172
891.9811,1000,2688.28548
842.17865,1000,2690.607723
626.678,1000,2691.516507
734.5376,1000,2692.944322
775.9164,1000,2706.839782
770.0025,1000,2709.351608
612.84125,1000,2710.488947
811.8714,1000,2711.96106
313.66464,1000,2722.516499
837.2918,1000,2724.725728
750.1704,1000,2725.642199
358.0379,1000,2727.102281
594.1548,1000,2738.213179
763.12506,1000,2742.637009
817.8655,1000,2743.600504
282.24786,1000,2745.132544
830.3246,1000,2756.718537
878.8083,1000,2759.330748
830.91846,1000,2760.282683
511.49738,1000,2761.677925
424.2697,1000,2773.629978
841.5872,1000,2778.481699
787.55066,1000,2779.484038
803.23285,1000,2780.942903
420.14307,1000,2791.577759
841.1831,1000,2793.88685
852.55054,1000,2794.910649
829.3399,1000,2796.324471
615.7609,1000,2807.736569
674.1969,1000,2812.588123
550.18756,1000,2813.524435
795.27576,1000,2814.907423
855.4759,1000,2826.232162
644.68774,1000,2828.872834
239.91608,1000,2829.93625
565.53815,1000,2831.432375
772.7318,1000,2842.788375
849.4675,1000,2847.070738
319.86786,1000,2848.037905
266.66266,1000,2849.527744
882.02625,1000,2861.018079
876.59607,1000,2863.751518
884.26074,1000,2864.880325
235.61258,1000,2866.595406
551.62274,1000,2878.617346
392.95285,1000,2881.093089
268.2263,1000,2884.381276
780.9569,1000,2885.793216
345.5739,1000,2897.33584
758.8657,1000,2899.739236
766.44006,1000,2900.64916
836.6699,1000,2902.039018
739.55725,1000,2913.14565
566.6709,1000,2915.661318
411.2731,1000,2916.685799
553.43915,1000,2920.195157
888.8572,1000,2930.539781
403.56747,1000,2932.778603
852.5496,1000,2933.703289
592.5663,1000,2935.097202
853.57776,1000,2945.33593
433.55292,1000,2947.554278
394.6571,1000,2948.462394
727.7029,1000,2951.766548
782.74164,1000,2962.513082
839.59784,1000,2964.98062
254.83374,1000,2965.976865
823.07635,1000,2967.515145
865.7593,1000,2978.863437
644.8521,1000,2981.321782
409.87683,1000,2982.336753
534.62946,1000,2983.888968
486.20844,1000,2996.233578
236.5964,1000,2998.438326
685.9887,1000,2999.343805
149.16449,1000,3000.762055
862.27374,1000,3011.380356
418.3786,1000,3013.887865
414.55994,1000,3014.944836
815.3271,1000,3016.526828
451.82584,1000,3029.202283
714.0359,1000,3031.458708
477.6988,1000,3032.376144
335.97144,1000,3033.767753
821.5713,1000,3044.034132
346.2495,1000,3046.260967
516.53796,1000,3047.189187
232.22122,1000,3048.571499
855.65234,1000,3060.750869
840.19995,1000,3063.027801
871.43854,1000,3063.987298
562.6152,1000,3065.494573
469.27332,1000,3076.952435
174.6433,1000,3079.415666
489.03644,1000,3080.446111
310.41864,1000,3082.012953
706.8971,1000,3094.806428
468.31827,1000,3097.104193
733.88965,1000,3098.027406
463.82617,1000,3099.434496
540.00543,1000,3109.807616
442.74597,1000,3112.019204
452.04584,1000,3112.954206
218.60748,1000,3114.407695
859.5689,1000,3127.078114
565.58136,1000,3129.283253
510.92453,1000,3130.191643
906.7067,933,3130.590103
604.2212,1000,3141.725035
787.23157,1000,3143.878234
485.1826,1000,3144.763723
650.9114,1000,3145.163379
518.73926,1000,3158.528094
863.70056,1000,3160.790734
618.4482,1000,3161.754958
869.9339,1000,3162.164631
617.74036,1000,3174.228481
843.6681,1000,3176.709672
401.5529,1000,3177.745945
501.507,1000,3178.199243
584.2225,1000,3192.217749
529.381,1000,3194.46226
845.39923,1000,3195.384659
608.1942,1000,3195.810851
666.66925,1000,3207.159418
771.8014,1000,3209.407434
633.1004,1000,3210.350834
525.7711,1000,3210.753154
746.6482,1000,3224.118168
686.564,1000,3226.333879
858.49927,1000,3227.27352
653.12463,1000,3227.688537
